$MSTAT,1600560600,092020,001000,12.0748.2984,E,1.26,251.32,200920,,,A*60
$MSTAT,1600568520,092020,022200,12.0425,0.2411,28.0972,46.1900,3.2157,1.2144,3.3179,15284832
$MSTAT,1600568640,092020,022400,12.0438,0.2322,28.0914,46.3461,3.2184,1.2144,3.3177,15284832
$MSTAT,1600568761,092020,022601,12.0285,0.2429,27.9953,46.0890,3.2148,1.2144,3.3169,15284832
$MSTAT,1600568880,092020,022800,12.0561,0.2262,28.1527,46.0701,3.2155,1.2144,3.3174,15284832
$MSTAT,1600569000,092020,023000,12.0326,0.2402,28.1176,45.7102,3.2154,1.2144,3.3163,15284832
$MSTAT,1600569120,092020,023200,12.0241,0.2565,28.1176,46.1913,3.2165,1.2144,3.3181,15284832
$MSTAT,1600569241,092020,023401,12.0323,0.2503,28.1602,46.1761,3.2145,1.2144,3.3179,15284832
$MSTAT,1600569361,092020,023601,12.0403,0.2308,28.1864,45.9182,3.2162,1.2144,3.3173,15284832
$MSTAT,1600569480,092020,023800,12.0375,0.2226,28.0992,45.7640,3.2138,1.2144,3.3151,15284832
$MSTAT,1600569600,092020,024000,12.0390,0.2378,28.0785,45.6965,3.2162,1.2144,3.3170,15284832
$MSTAT,1600569721,092020,024201,12.0316,0.2467,28.0980,46.1889,3.2165,1.2144,3.3170,15284832
$MSTAT,1600569841,092020,024401,12.0224,0.2478,28.0997,46.1261,3.2162,1.2144,3.3174,15284832
$MSTAT,1600569960,092020,024600,12.0358,0.2372,28.0905,45.8334,3.2146,1.2144,3.3166,15284832
$MSTAT,1600570080,092020,024800,12.0460,0.2325,28.1541,46.0063,3.2166,1.2144,3.3175,15284832
$MSTAT,1600570201,092020,025001,12.0365,0.2391,28.1236,45.7529,3.2145,1.2144,3.3165,15284832
$MSTAT,1600570321,092020,025201,12.0322,0.2560,28.0989,46.0297,3.2154,1.2144,3.3180,15284832
$MSTAT,1600570440,092020,025400,12.0332,0.2434,28.1340,45.9690,3.2151,1.2144,3.3165,15284832
